date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,high_low_window,new_high_low_net_ratio,new_high_low_net_change_5d,change_available,new_high_count,new_low_count,new_high_low_net_count,new_high_ratio,new_low_ratio,high_low_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-04-17,new_high_low_120_breadth_reversal_bottom,bottom,0.01380368098,False,2054,1956,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01380368098,0.04138284339,True,27,0,27,0.01380368098,0.0,1956,,,,inactive,False,False,False,False,,2
2012-04-18,new_high_low_120_breadth_reversal_bottom,bottom,0.01034661148,False,2054,1933,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01034661148,-0.0037662917499999993,True,22,2,20,0.01138127263,0.001034661148,1933,,,,inactive,False,False,False,False,,2
2012-04-19,new_high_low_120_breadth_reversal_bottom,bottom,0.01855670103,False,2054,1940,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01855670103,0.007836946050000002,True,36,0,36,0.01855670103,0.0,1940,,,,inactive,False,False,False,False,,2
2012-04-20,new_high_low_120_breadth_reversal_bottom,bottom,0.02062400846,False,2054,1891,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02062400846,-0.0027737534899999992,True,39,0,39,0.02062400846,0.0,1891,,,,inactive,False,False,False,False,,2
2012-04-23,new_high_low_120_breadth_reversal_bottom,bottom,0.01497933884,False,2054,1936,new_high_low_period_decomposition_v1_20120104_20260814,120,0.01497933884,-0.0033692850099999987,True,49,20,29,0.02530991736,0.01033057851,1936,,,,inactive,False,False,False,False,,2
2012-04-24,new_high_low_120_breadth_reversal_bottom,bottom,-0.01824632539,False,2054,1973,new_high_low_period_decomposition_v1_20120104_20260814,120,-0.01824632539,-0.032050006369999995,True,41,77,-36,0.02078053725,0.03902686265,1973,,,,inactive,False,False,False,False,,2
2012-04-25,new_high_low_120_breadth_reversal_bottom,bottom,0.03730199285,False,2054,1957,new_high_low_period_decomposition_v1_20120104_20260814,120,0.03730199285,0.02695538137,True,89,16,73,0.0454777721,0.008175779254,1957,,,,inactive,False,False,False,False,,2
2012-04-26,new_high_low_120_breadth_reversal_bottom,bottom,0.02672147996,False,2054,1946,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02672147996,0.008164778929999998,True,60,8,52,0.03083247688,0.004110996917,1946,,,,inactive,False,False,False,False,,2
2012-04-27,new_high_low_120_breadth_reversal_bottom,bottom,0.009384775808,False,2054,1918,new_high_low_period_decomposition_v1_20120104_20260814,120,0.009384775808,-0.011239232652,True,24,6,18,0.01251303441,0.003128258603,1918,,,,inactive,False,False,False,False,,2
2012-05-02,new_high_low_120_breadth_reversal_bottom,bottom,0.02644964395,False,2054,1966,new_high_low_period_decomposition_v1_20120104_20260814,120,0.02644964395,0.01147030511,True,58,6,52,0.02950152594,0.003051881994,1966,,,,inactive,False,False,False,False,,2
