fold_id,test_year,model_id,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
wf_cal3_2025,2025,shallow_gbdt,top,2,0.2,0.3,27,0.25148988235702885,0.25925925925925924,0.007769376902230396,calibrated
wf_cal3_2025,2025,shallow_gbdt,top,3,0.3,0.4,27,0.33132704241910893,0.07407407407407407,0.25725296834503486,calibrated
wf_cal3_2025,2025,shallow_gbdt,top,4,0.4,0.5,19,0.4436097928364035,0.15789473684210525,0.28571505599429825,calibrated
wf_cal3_2025,2025,shallow_gbdt,top,5,0.5,0.6,7,0.5122177858294693,0.0,0.5122177858294693,calibrated
wf_cal3_2025,2025,shallow_gbdt,bottom,0,0.0,0.1,243,0.014464024445238864,0.037037037037037035,0.02257301259179817,calibrated
wf_cal3_2026,2026,elastic_net,top,0,0.0,0.1,99,0.04545120620352919,0.10101010101010101,0.05555889480657182,calibrated
wf_cal3_2026,2026,elastic_net,top,1,0.1,0.2,27,0.14827719588760932,0.3333333333333333,0.185056137445724,calibrated
wf_cal3_2026,2026,elastic_net,top,2,0.2,0.3,12,0.239894286289655,0.25,0.010105713710344993,calibrated
wf_cal3_2026,2026,elastic_net,top,3,0.3,0.4,8,0.3295218029261042,0.5,0.17047819707389578,calibrated
wf_cal3_2026,2026,elastic_net,top,4,0.4,0.5,2,0.4962792879065993,0.0,0.4962792879065993,calibrated
wf_cal3_2026,2026,elastic_net,top,5,0.5,0.6,1,0.511777141348571,0.0,0.511777141348571,calibrated
wf_cal3_2026,2026,elastic_net,bottom,0,0.0,0.1,141,0.029296346823148696,0.03546099290780142,0.006164646084652725,calibrated
wf_cal3_2026,2026,elastic_net,bottom,1,0.1,0.2,7,0.1326494182385178,0.42857142857142855,0.29592201033291077,calibrated
wf_cal3_2026,2026,elastic_net,bottom,2,0.2,0.3,1,0.24394881187224146,1.0,0.7560511881277585,calibrated
wf_cal3_2026,2026,shallow_gbdt,top,0,0.0,0.1,97,0.033791069551718456,0.05154639175257732,0.01775532220085886,calibrated
wf_cal3_2026,2026,shallow_gbdt,top,1,0.1,0.2,29,0.15559469733333103,0.3103448275862069,0.15475013025287587,calibrated
wf_cal3_2026,2026,shallow_gbdt,top,2,0.2,0.3,17,0.25369644236604655,0.5882352941176471,0.33453885175160053,calibrated
wf_cal3_2026,2026,shallow_gbdt,top,3,0.3,0.4,6,0.3168054114098614,0.3333333333333333,0.01652792192347191,calibrated
wf_cal3_2026,2026,shallow_gbdt,bottom,0,0.0,0.1,131,0.012558645548195475,0.015267175572519083,0.002708530024323608,calibrated
wf_cal3_2026,2026,shallow_gbdt,bottom,1,0.1,0.2,18,0.1285833434972146,0.3888888888888889,0.2603055453916743,calibrated
