above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,base_valid_missing_industry_count,breadth_ma120,breadth_ma20,breadth_ma60,close_missing_count,date,four_industry_present_count,four_industry_top1_ids,four_industry_top1_triggered,insufficient_history_count_ma120,insufficient_history_count_ma20,insufficient_history_count_ma60,paused_count,paused_status_missing_count,ranked_industry_count_ma20,st_count,st_status_missing_count,target_bank_breadth_ma20,target_bank_expected_name,target_bank_industry_code,target_bank_industry_name,target_bank_is_top1_ma20,target_bank_mapping_count,target_bank_rank_ma20,target_bank_valid_count_ma20,target_coal_breadth_ma20,target_coal_expected_name,target_coal_industry_code,target_coal_industry_name,target_coal_is_top1_ma20,target_coal_mapping_count,target_coal_rank_ma20,target_coal_valid_count_ma20,target_nonferrous_breadth_ma20,target_nonferrous_expected_name,target_nonferrous_industry_code,target_nonferrous_industry_name,target_nonferrous_is_top1_ma20,target_nonferrous_mapping_count,target_nonferrous_rank_ma20,target_nonferrous_valid_count_ma20,target_steel_breadth_ma20,target_steel_expected_name,target_steel_industry_code,target_steel_industry_name,target_steel_is_top1_ma20,target_steel_mapping_count,target_steel_rank_ma20,target_steel_valid_count_ma20,top1_industry_codes_ma20,top1_industry_names_ma20,top1_tie_count_ma20,universe_size,valid_count_ma120,valid_count_ma20,valid_count_ma60
654,394,493,1987,0,0.3291394061,0.1982888777,0.2481127328,0,2012-06-27,2,,False,0,0,0,47,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.04545454545,有色金属,801050,有色金属I,False,1,21,66,0,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1987,1987,1987
577,353,430,1956,0,0.2949897751,0.1804703476,0.2198364008,0,2012-06-28,2,,False,0,0,0,78,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.02985074627,有色金属,801050,有色金属I,False,1,22,67,0,钢铁,801040,钢铁I,False,1,23,31,801150,医药生物I,1,2054,1956,1956,1956
624,451,493,1960,0,0.3183673469,0.2301020408,0.2515306122,0,2012-06-29,2,,False,0,0,0,75,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.05970149254,有色金属,801050,有色金属I,False,1,22,67,0,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1960,1960,1960
736,665,628,2119,0,0.3489805595,0.313827277,0.2963662105,0,2012-07-02,2,,False,10,0,0,29,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1194029851,有色金属,801050,有色金属I,False,1,20,67,0,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2151,2109,2119,2119
781,759,676,2125,0,0.3692671395,0.3571764706,0.3181176471,0,2012-07-03,2,,False,10,0,0,23,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1323529412,有色金属,801050,有色金属I,False,1,21,68,0,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2151,2115,2125,2125
756,731,655,2120,0,0.3582938389,0.3448113208,0.3089622642,0,2012-07-04,2,,False,10,0,0,28,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1571428571,有色金属,801050,有色金属I,False,1,21,70,0.0303030303,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2151,2110,2120,2120
638,523,528,2114,0,0.3032319392,0.2473982971,0.2497634816,0,2012-07-05,2,,False,10,0,0,34,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.05797101449,有色金属,801050,有色金属I,False,1,22,69,0.03125,钢铁,801040,钢铁I,False,1,23,32,801120,食品饮料I,1,2151,2104,2114,2114
728,695,636,2111,0,0.3460076046,0.3292278541,0.3012790147,0,2012-07-06,2,,False,7,0,0,37,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1594202899,有色金属,801050,有色金属I,False,1,22,69,0.03125,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2151,2104,2111,2111
604,516,513,2124,0,0.2853094001,0.2429378531,0.2415254237,0,2012-07-09,2,,False,7,0,0,24,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1428571429,有色金属,801050,有色金属I,False,1,18,70,0,钢铁,801040,钢铁I,False,1,23,33,801150,医药生物I,1,2151,2117,2124,2124
552,418,457,2124,0,0.260500236,0.1967984934,0.2151600753,0,2012-07-10,2,,False,5,0,0,24,0,23,3,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.1428571429,有色金属,801050,有色金属I,False,1,13,70,0,钢铁,801040,钢铁I,False,1,23,33,801120,食品饮料I,1,2151,2119,2124,2124
