above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,breadth_ma120,breadth_ma20,breadth_ma60,date,industry_code,industry_name,universe_count,valid_count_ma120,valid_count_ma20,valid_count_ma60,rank_eligible_ma20,rank_ma20,is_top1_ma20,target_id,is_target_industry
2,119,8,200,0.01,0.595,0.04,2012-01-31,801030,化工I,204,200,200,200,True,12,False,,False
0,26,2,34,0,0.7647058824,0.05882352941,2012-01-31,801040,钢铁I,35,34,34,34,True,6,False,steel,True
4,63,26,69,0.05797101449,0.9130434783,0.3768115942,2012-01-31,801050,有色金属I,70,69,69,69,True,2,False,nonferrous,True
2,68,4,95,0.02105263158,0.7157894737,0.04210526316,2012-01-31,801060,建筑建材I,97,95,95,95,True,8,False,,False
4,118,14,272,0.01470588235,0.4338235294,0.05147058824,2012-01-31,801070,机械设备I,275,272,272,272,True,20,False,,False
0,45,0,103,0,0.4368932039,0,2012-01-31,801080,电子I,104,103,103,103,True,19,False,,False
6,70,14,106,0.05660377358,0.6603773585,0.1320754717,2012-01-31,801090,交运设备I,107,106,106,106,True,9,False,,False
4,26,4,74,0.05405405405,0.3513513514,0.05405405405,2012-01-31,801100,信息设备I,76,74,74,74,True,21,False,,False
1,20,6,34,0.02941176471,0.5882352941,0.1764705882,2012-01-31,801110,家用电器I,35,34,34,34,True,13,False,,False
2,27,2,51,0.03921568627,0.5294117647,0.03921568627,2012-01-31,801120,食品饮料I,51,51,51,51,True,16,False,,False
1,32,1,64,0.015625,0.5,0.015625,2012-01-31,801130,纺织服装I,65,64,64,64,True,18,False,,False
2,35,1,69,0.02898550725,0.5072463768,0.01449275362,2012-01-31,801140,轻工制造I,72,69,69,69,True,17,False,,False
4,48,2,148,0.02702702703,0.3243243243,0.01351351351,2012-01-31,801150,医药生物I,155,148,148,148,True,22,False,,False
12,47,11,78,0.1538461538,0.6025641026,0.141025641,2012-01-31,801160,公用事业I,81,78,78,78,True,11,False,,False
6,68,7,78,0.07692307692,0.8717948718,0.08974358974,2012-01-31,801170,交通运输I,80,78,78,78,True,4,False,,False
11,113,21,131,0.08396946565,0.8625954198,0.1603053435,2012-01-31,801180,房地产I,135,131,131,131,True,5,False,,False
19,39,21,40,0.475,0.975,0.525,2012-01-31,801190,金融服务I,44,40,40,40,True,1,True,,False
1,51,3,84,0.0119047619,0.6071428571,0.03571428571,2012-01-31,801200,商业贸易I,88,84,84,84,True,10,False,,False
0,13,0,24,0,0.5416666667,0,2012-01-31,801210,休闲服务I,25,24,24,24,True,15,False,,False
5,28,2,106,0.04716981132,0.2641509434,0.01886792453,2012-01-31,801220,信息服务I,107,106,106,106,True,23,False,,False
0,22,0,30,0,0.7333333333,0,2012-01-31,801230,综合I,31,30,30,30,True,7,False,,False
2,41,3,69,0.02898550725,0.5942028986,0.04347826087,2012-02-01,801010,农林牧渔I,70,69,69,69,True,11,False,,False
4,40,9,47,0.08510638298,0.8510638298,0.1914893617,2012-02-01,801020,采掘I,50,47,47,47,True,3,False,,False
3,115,7,198,0.01515151515,0.5808080808,0.03535353535,2012-02-01,801030,化工I,204,198,198,198,True,12,False,,False
0,24,2,34,0,0.7058823529,0.05882352941,2012-02-01,801040,钢铁I,35,34,34,34,True,6,False,steel,True
2,59,12,69,0.02898550725,0.8550724638,0.1739130435,2012-02-01,801050,有色金属I,70,69,69,69,True,2,False,nonferrous,True
1,60,3,95,0.01052631579,0.6315789474,0.03157894737,2012-02-01,801060,建筑建材I,97,95,95,95,True,8,False,,False
4,107,14,273,0.01465201465,0.3919413919,0.05128205128,2012-02-01,801070,机械设备I,275,273,273,273,True,21,False,,False
0,48,1,102,0,0.4705882353,0.009803921569,2012-02-01,801080,电子I,104,102,102,102,True,17,False,,False
6,68,11,107,0.05607476636,0.6355140187,0.1028037383,2012-02-01,801090,交运设备I,107,107,107,107,True,7,False,,False
3,22,3,74,0.04054054054,0.2972972973,0.04054054054,2012-02-01,801100,信息设备I,76,74,74,74,True,22,False,,False
1,21,5,35,0.02857142857,0.6,0.1428571429,2012-02-01,801110,家用电器I,35,35,35,35,True,9,False,,False
2,26,2,51,0.03921568627,0.5098039216,0.03921568627,2012-02-01,801120,食品饮料I,51,51,51,51,True,15,False,,False
1,29,3,63,0.01587301587,0.4603174603,0.04761904762,2012-02-01,801130,纺织服装I,65,63,63,63,True,18,False,,False
2,35,2,69,0.02898550725,0.5072463768,0.02898550725,2012-02-01,801140,轻工制造I,72,69,69,69,True,16,False,,False
4,60,2,149,0.02684563758,0.4026845638,0.01342281879,2012-02-01,801150,医药生物I,155,149,149,149,True,20,False,,False
9,42,9,79,0.1139240506,0.5316455696,0.1139240506,2012-02-01,801160,公用事业I,81,79,79,79,True,14,False,,False
5,64,7,77,0.06493506494,0.8311688312,0.09090909091,2012-02-01,801170,交通运输I,80,77,77,77,True,4,False,,False
9,100,17,132,0.06818181818,0.7575757576,0.1287878788,2012-02-01,801180,房地产I,135,132,132,132,True,5,False,,False
15,37,19,42,0.3571428571,0.880952381,0.4523809524,2012-02-01,801190,金融服务I,44,42,42,42,True,1,True,,False
1,44,4,81,0.01234567901,0.5432098765,0.04938271605,2012-02-01,801200,商业贸易I,88,81,81,81,True,13,False,,False
0,10,0,24,0,0.4166666667,0,2012-02-01,801210,休闲服务I,25,24,24,24,True,19,False,,False
5,24,1,107,0.04672897196,0.2242990654,0.009345794393,2012-02-01,801220,信息服务I,107,107,107,107,True,23,False,,False
0,18,0,30,0,0.6,0,2012-02-01,801230,综合I,31,30,30,30,True,9,False,,False
3,58,4,70,0.04285714286,0.8285714286,0.05714285714,2012-02-02,801010,农林牧渔I,70,70,70,70,True,7,False,,False
6,42,14,47,0.1276595745,0.8936170213,0.2978723404,2012-02-02,801020,采掘I,50,47,47,47,True,4,False,,False
3,152,11,200,0.015,0.76,0.055,2012-02-02,801030,化工I,204,200,200,200,True,12,False,,False
0,27,2,33,0,0.8181818182,0.06060606061,2012-02-02,801040,钢铁I,35,33,33,33,True,8,False,steel,True
5,65,27,70,0.07142857143,0.9285714286,0.3857142857,2012-02-02,801050,有色金属I,70,70,70,70,True,2,False,nonferrous,True
2,71,5,93,0.02150537634,0.7634408602,0.05376344086,2012-02-02,801060,建筑建材I,97,93,93,93,True,11,False,,False
8,174,19,271,0.0295202952,0.6420664207,0.07011070111,2012-02-02,801070,机械设备I,275,271,271,271,True,18,False,,False
