ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__97a107,"[0, 4]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,16.7%,60.3%,18.4%,3.28,1.22,46.3%,50.9%,57,2.1,0.70
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__fd14d2,"[0, 6]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,16.7%,60.3%,17.2%,3.51,1.26,44.7%,49.2%,59,2.1,0.73
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__acf074,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,T/F/T,16.6%,59.8%,12.8%,4.68,1.36,40.9%,55.0%,40,4.1,0.49
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__643048,"[0, 8]",-,0.5,-,-,1.2,✓,✓,✓,F/F/T,15.2%,53.8%,22.8%,2.36,1.03,48.5%,51.0%,49,2.6,0.60
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__8d2f3f,"[0, 8]",-,0.5,-,-,2,✓,✓,✓,F/F/T,15.2%,53.8%,22.8%,2.36,1.03,48.5%,51.0%,49,2.6,0.60
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3_79c06e,"[0, 10]",-,0.5,-,-,0.8,✓,✓,✓,F/F/T,15.0%,53.3%,18.6%,2.86,1.07,46.3%,52.2%,46,2.9,0.57
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__c0693d,"[0, 6]",-,0.3,-,-,0.8,✓,✓,✓,F/F/T,15.0%,53.0%,17.7%,3.00,1.08,45.4%,47.5%,61,2.0,0.75
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__1206c6,"[0, 4]",-,0.3,✓,-,-,✓,✓,✓,F/F/T,14.8%,52.4%,19.7%,2.66,1.04,46.4%,50.9%,57,2.1,0.70
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__ed639c,"[0, 8]",-,0.5,-,-,1,✓,✓,✓,F/F/T,14.8%,52.4%,22.8%,2.30,0.98,49.2%,50.0%,48,2.5,0.59
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_e2c2f7,"[0, 10]",-,0.6,✓,-,0.8,✓,✓,✓,F/F/T,14.2%,49.8%,16.7%,2.97,1.09,42.1%,52.2%,46,2.7,0.57
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__a5ba7f,"[0, 4]",-,0.4,✓,-,2,✓,✓,✓,F/F/T,13.5%,47.1%,18.9%,2.49,1.00,43.3%,50.9%,57,2.1,0.70
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__55caee,"[0, 6]",-,0.4,✓,-,2,✓,✓,✓,F/F/T,13.2%,45.7%,20.7%,2.21,0.84,50.0%,48.2%,56,2.2,0.69
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__62150b,"[0, 6]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,13.2%,45.7%,20.7%,2.21,0.84,50.0%,48.2%,56,2.2,0.69
round2b_fine_tuning_S0-8_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__6fffd7,"[0, 8]",-,0.5,-,-,-,✓,✓,✓,F/F/T,13.1%,45.5%,21.8%,2.09,0.84,49.6%,51.0%,49,2.7,0.60
round2c_Ashare_S0-5_arT-1_flT-.95_fmT-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__3e0da5,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,T/F/T,13.0%,45.3%,11.3%,4.02,1.08,38.2%,47.7%,44,3.7,0.54
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__cae519,"[0, 4]",-,-,-,-,-,✓,✓,✓,F/F/T,13.0%,45.2%,21.0%,2.15,0.88,46.8%,50.0%,58,2.1,0.71
