fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision
wf_2022,2022,simple_rule,top,10,242,21,0.08677685950413223,0.07966610907339403,0.297339700015561,0.5138978668390433,0.08498012749698329
wf_2022,2022,simple_rule,top,20,242,37,0.15289256198347106,0.13555239503975225,0.4431291406363669,0.5158866183256428,0.15069350180917296
wf_2022,2022,simple_rule,bottom,5,242,26,0.10743801652892562,0.09639293504996169,0.3474838387758938,0.4825498575498576,0.1706466715901791
wf_2022,2022,simple_rule,bottom,10,242,39,0.16115702479338842,0.13747133863349886,0.4688859763073632,0.46280156624984214,0.2506288067028938
wf_2022,2022,simple_rule,bottom,20,242,59,0.24380165289256198,0.19526230566738975,0.6041969345837076,0.45771973696397156,0.2870003437413306
wf_2022,2022,elastic_net,top,5,242,16,0.06611570247933884,0.06727514218598,0.35394020688627903,0.11946902654867259,0.03859453957753734
wf_2022,2022,elastic_net,top,10,242,21,0.08677685950413223,0.08764602718590507,0.36604470872087586,0.1861667744020685,0.05333788532904311
wf_2022,2022,elastic_net,top,20,242,37,0.15289256198347106,0.13954114172311255,0.5113872459823212,0.29822017139090307,0.2385671038733831
wf_2022,2022,elastic_net,bottom,5,242,26,0.10743801652892562,0.07337654425117364,0.2575934069631682,0.8327991452991454,0.5391500532598718
wf_2022,2022,elastic_net,bottom,10,242,39,0.16115702479338842,0.10234857415036759,0.3375611120684579,0.8508273335859543,0.5847379743239481
wf_2022,2022,elastic_net,bottom,20,242,59,0.24380165289256198,0.17023570246758907,0.5356486424330751,0.8220802074650366,0.5631079872109974
wf_2022,2022,shallow_xgboost,top,5,242,16,0.06611570247933884,0.0550589257468407,0.1964418108539383,0.8998893805309734,0.25495985565815094
wf_2022,2022,shallow_xgboost,top,10,242,21,0.08677685950413223,0.06729727857822482,0.23825833135066896,0.9028226675285499,0.312245816892546
wf_2022,2022,shallow_xgboost,top,20,242,37,0.15289256198347106,0.1146819373238669,0.3905705855149486,0.7829268292682927,0.45171154975546407
wf_2022,2022,shallow_xgboost,bottom,5,242,26,0.10743801652892562,0.0928763359082261,0.28247561200697013,0.8701923076923077,0.5023639827745008
wf_2022,2022,shallow_xgboost,bottom,10,242,39,0.16115702479338842,0.11594615156581607,0.35242302167876854,0.8510799545282304,0.5149362872244234
wf_2022,2022,shallow_xgboost,bottom,20,242,59,0.24380165289256198,0.15436266323788334,0.46122207042507046,0.7971195702509957,0.5026082502628433
wf_2023,2023,simple_rule,top,5,242,32,0.1322314049586777,0.11837324601610522,0.4130357060927076,0.503125,0.14490447141969565
wf_2023,2023,simple_rule,top,10,242,37,0.15289256198347106,0.1330289606001532,0.44543493378759474,0.4590639419907712,0.14970606495372235
wf_2023,2023,simple_rule,top,20,242,41,0.16942148760330578,0.14097161588291365,0.4559743337860351,0.5748088824171824,0.21948326318102857
wf_2023,2023,simple_rule,bottom,5,242,0,0.0,0.013682521501262826,0.12438572903895923,,
wf_2023,2023,simple_rule,bottom,10,242,0,0.0,0.03094264980596457,0.1934325921377021,,
wf_2023,2023,simple_rule,bottom,20,242,0,0.0,0.07142917220204115,0.3105945074622039,,
wf_2023,2023,elastic_net,top,5,242,32,0.1322314049586777,0.09726871807321995,0.2956817584783335,0.9605654761904762,0.7934689642461993
wf_2023,2023,elastic_net,top,10,242,37,0.15289256198347106,0.11636394620789835,0.3671148331127186,0.9000659195781147,0.6350941820825464
wf_2023,2023,elastic_net,top,20,242,41,0.16942148760330578,0.12955533701674976,0.42609818454284093,0.8104598956437326,0.5826472543869924
wf_2023,2023,elastic_net,bottom,5,242,0,0.0,0.013267575935585077,0.080424834251898,,
wf_2023,2023,elastic_net,bottom,10,242,0,0.0,0.022318079897785184,0.11273610937988718,,
wf_2023,2023,elastic_net,bottom,20,242,0,0.0,0.03702050812777904,0.18606472972324106,,
wf_2023,2023,shallow_xgboost,top,5,242,32,0.1322314049586777,0.0997605987604037,0.2862197355812939,0.9796130952380953,0.8550993970872909
wf_2023,2023,shallow_xgboost,top,10,242,37,0.15289256198347106,0.10467213474151278,0.2959927490036817,0.9632168754119973,0.7775084853284355
wf_2023,2023,shallow_xgboost,top,20,242,41,0.16942148760330578,0.08796838227579391,0.2847257293656855,0.9463657323140395,0.8124058588397813
wf_2023,2023,shallow_xgboost,bottom,5,242,0,0.0,0.007919101388498601,0.05474351167625328,,
wf_2023,2023,shallow_xgboost,bottom,10,242,0,0.0,0.016131249491129148,0.09678677369437853,,
wf_2023,2023,shallow_xgboost,bottom,20,242,0,0.0,0.03456210902637328,0.1905626708814788,,
wf_2024,2024,simple_rule,top,5,242,39,0.16115702479338842,0.13650163970467807,0.44722506408704943,0.42579259820639137,0.15745431619889005
wf_2024,2024,simple_rule,top,10,242,54,0.2231404958677686,0.17604276449591577,0.5399245052487176,0.5220646178092987,0.3216866693446991
wf_2024,2024,simple_rule,top,20,242,84,0.34710743801652894,0.25187427605429275,0.7182253519190608,0.5299879445449066,0.41695163032777727
wf_2024,2024,simple_rule,bottom,5,242,35,0.1446280991735537,0.14335670670644293,0.7865032556060948,0.5,0.1446280991735537
wf_2024,2024,simple_rule,bottom,10,242,54,0.2231404958677686,0.22116809985874517,1.2110332707207325,0.5,0.2231404958677686
wf_2024,2024,simple_rule,bottom,20,242,84,0.34710743801652894,0.34402819430974885,1.8813438209017386,0.5,0.34710743801652894
wf_2024,2024,elastic_net,top,5,242,39,0.16115702479338842,0.3279852455444799,1.4719703354876674,0.7254010357458633,0.3492666507659141
wf_2024,2024,elastic_net,top,10,242,54,0.2231404958677686,0.36019638357328987,1.6786647506444687,0.6618400315208826,0.38729374424555474
wf_2024,2024,elastic_net,top,20,242,84,0.34710743801652894,0.36624943337542254,1.6677069315405555,0.6170132610006027,0.5151965836223451
wf_2024,2024,elastic_net,bottom,5,242,35,0.1446280991735537,0.14335670670644293,0.7865032556060948,0.5,0.1446280991735537
wf_2024,2024,elastic_net,bottom,10,242,54,0.2231404958677686,0.22116809985874517,1.2110332707207325,0.5,0.2231404958677686
wf_2024,2024,elastic_net,bottom,20,242,84,0.34710743801652894,0.34402819430974885,1.8813438209017386,0.5,0.34710743801652894
wf_2024,2024,shallow_xgboost,top,5,242,39,0.16115702479338842,0.1340172317236471,0.4071647380166007,0.7910824807376532,0.5018561592225066
wf_2024,2024,shallow_xgboost,top,10,242,54,0.2231404958677686,0.16443902922365086,0.5601303895986433,0.704442474389283,0.5599469637207561
wf_2024,2024,shallow_xgboost,top,20,242,84,0.34710743801652894,0.2234875938339317,0.7181971050843386,0.6442510548523207,0.6334415767532084
wf_2024,2024,shallow_xgboost,bottom,5,242,35,0.1446280991735537,0.14335670670644293,0.7865032556060948,0.5,0.1446280991735537
wf_2024,2024,shallow_xgboost,bottom,10,242,54,0.2231404958677686,0.22116809985874517,1.2110332707207325,0.5,0.2231404958677686
wf_2024,2024,shallow_xgboost,bottom,20,242,84,0.34710743801652894,0.34402819430974885,1.8813438209017386,0.5,0.34710743801652894
wf_2025,2025,simple_rule,top,5,243,26,0.10699588477366255,0.09858475164705399,0.3507157169480936,0.5948245303084012,0.12769087775965493
